"REGISTRO","TIPO_ENCUESTA","PC1","COD_HABITAT","PC3","COD_EDAD","PC4","PC6","PC7","PC7A","PC8","P1001_1","P1001_2","P1002_COD","P1002_1_COD","P1002_2_COD","P1003_COD","P1003_1_COD","P1003_2_COD","P1004_COD","P1004_1_COD","P1004_2_COD","P1005_1","P1005_2","P1005_3","P1006","P1007","P1008","P1009","P1010","P1011","P1012","P1013","P1013_1","P1014","P1015","P1016","P11017","P1101_A","P1102_A","P1103","P1104","P1105_COD_B_1","P1105_COD_B_2","P1105_COD_B_3","P1106","P1107","P1108_COD_B_1","P1108_COD_B_2","P1108_COD_B_3","P1109_1","P1109_2","P1109_3","P1109_4","P1109_5","P1109_6","P1109_7","P1109_8","P1017","P1018","P2102","P2003","P2004_1","P2004_2","P2004_3","P2004_4","P2004_5","P2002_CONOC_1","P2002_VALOR_1","P2002_CONOC_2","P2002_VALOR_2","P2002_CONOC_3","P2002_VALOR_3","P2002_CONOC_4","P2002_VALOR_4","P2002_CONOC_5","P2002_VALOR_5","P2103_1","P2103_2","P2103_3","P2103_4","P2103_5","P2002B_CONOC_1","P2002B_VALOR_1","P2002B_CONOC_2","P2002B_VALOR_2","P2002B_CONOC_3","P2002B_VALOR_3","P2002B_CONOC_4","P2002B_VALOR_4","P2002B_CONOC_5","P2002B_VALOR_5","P2002B_CONOC_6","P2002B_VALOR_6","P2002B_CONOC_7","P2002B_VALOR_7","P2002B_CONOC_8","P2002B_VALOR_8","P2002B_CONOC_9","P2002B_VALOR_9","P2002B_CONOC_10","P2002B_VALOR_10","P2005R","P2007R","P2008","P2008R","P2105","P2105R","P2105B","P2106","P2106A","P2009","P2010","P2012","P2013","P2014","P2015"
4758,"FIJO2","Almería","De 50.001 a 100.000","Mujer","75 o más",87,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",1,1,"Falta de atención a la gente mayor y discapacitados","Pensiones bajas","Falta de trabajo: paro","Inmigración","Largas listas de espera","Pensiones bajas","Pensiones bajas","Mejorar políticas sociales","Falta de atención a la gente mayor y discapacitados","No sabe","No sabe","No sabe","Mala","Igual","No sabe","Ni buena ni mala","Igual","No sabe","Mala","Igual","Se quedará igual","Muy mala","Igual","Se quedará igual","Peor","Otro ¿Cuál? (NO LEER)","No sabe","Sí","Mal","Reducir listas/tiempos de espera de atención"," "," ","No","Bien","Buenos centros/instalaciones"," "," ","No sabe","En desacuerdo","En desacuerdo","No sabe","No sabe","No sabe","No sabe","No sabe","No sabe","No sabe","Apolítico","No sabe","No sabe","No sabe","No sabe","No sabe","No sabe","Sí","No sabe","Sí","No sabe","Sí","No sabe","No"," ","No"," ",6,5,5,"No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","No sabe","No fui a votar","No votó","No fui a votar","No votó","Antes de iniciar la campaña","No contesta"," ","Tenemos dificultades","Nada probable","Religiosa","Inferior a primaria (menos de 5 años de escolarización)","Pensionista (anteriormente no ha trabajado)"," "
4762,"FIJO2","Jaén","De 20.001 a 50.000","Hombre","75 o más",80,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",10,10,"Insatisfacción con la política","No sabe","No sabe","Corrupción política","Falta de trabajo: paro","No sabe","No sabe","No sabe","No sabe","Ninguno","Ninguno","No contesta","Buena","Igual","Se quedará igual","Mala","Igual","Mejorará","Buena","Igual","Se quedará igual","Buena","Mejor","Mejorará","Ni mejor ni peor","Que se genere  más empleo","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","Bien","Bien en general, buena experiencia, calidad de la asistencia"," "," ","No","Bien","No sabe"," "," ","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Buena","Buena","Liberal","No sabe","No sabe","No sabe","No sabe","No sabe","No sabe","Sí",8,"Sí",5,"Sí",7,"Sí",8,"Sí",3,"No sabe","No sabe","No sabe","No sabe","No sabe","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ciudadanos","Ciudadanos","No fui a votar","No votó","No fui a votar","No votó","Antes de iniciar la campaña","No contesta"," ","Nos llega para vivir","Probable (NO LEER)","Religiosa","Educación primaria","Jubilado o pensionista (anteriormente ha trabajado)"," "
4876,"FIJO2","Huelva","De 10.001 a 20.000","Hombre","65-74",69,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",8,9,"Falta de trabajo: paro","Inestabilidad política","Problema de Cataluña","Corrupción política","Infraestructuras viarias insuficientes","Falta de agua","Jubilación","Largas listas de espera","No sabe","PSOE","PSOE","No sabe","Buena","Igual","Se quedará igual","Ni buena ni mala","Mejor","Mejorará","Buena","Igual","Se quedará igual","Buena","Igual","Se quedará igual","Ni mejor ni peor","Que se genere  más empleo","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","Bien","Bien en general, buena experiencia, calidad de la asistencia","Reducir listas/tiempos de espera de atención"," ","Sí","Bien","Buenos profesionales"," "," ","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Buena","Buena","Socialdemócrata",6,7,5,3,6,9,"Sí",6,"Sí",5,"Sí",6,"Sí",4,"Sí",2,7,6,7,3,8,"No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ciudadanos","No sabe","Habitualmente voto pero esa vez no","No votó","Habitualmente voto pero esta vez no","No votó","El mismo día de las elecciones","No contesta"," ","Nos llega para vivir","Poco probable","Algo religiosa","Bachillerato","Jubilado o pensionista (anteriormente ha trabajado)"," "
4921,"MOVIL","Cádiz","De 10.001 a 20.000","Hombre","18-24",22,"Sí","Sí, tengo la nacionalidad española"," ","No",4,6,"Falta de trabajo: paro","Jubilación","No sabe","Falta de trabajo: paro","Jubilación","No sabe","Paro juvenil","No sabe","No sabe","Ninguno","No sabe","Ninguno","Ni buena ni mala","Igual","Se quedará igual","No sabe","Igual","Se quedará igual","Buena","Igual","Se quedará igual","No sabe","Igual","Se quedará igual","No sabe","Que se genere  más empleo","Atraer las inversiones de empresas que quieran instalarse en Andalucía","No","Bien","No contesta"," "," ","No","Bien","Buen nivel académico/ alumnos salen preparados/ evolucionan correctamente"," "," ","Ni de acuerdo ni en desacuerdo","En desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","No sabe","Buena","Buena","No contesta",7,8,4,3,7,9,"No"," ","Sí",4,"No"," ","No"," ","No"," ","No contesta",4,"No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","No votaría","No fui a votar","No votó","No fui a votar","No votó","Nunca voto","No contesta"," ","Vivimos confortablemente con los ingresos actuales","Poco probable","Algo religiosa","Formación profesional II (segundo grado)","Parado/a y ha trabajado antes"," "
4975,"MOVIL","Almería","De 50.001 a 100.000","Hombre","35-44",40,"Sí","Sí, tengo la nacionalidad española"," ","Sí, pero no lo utiliza",8,8,"Falta de trabajo: paro","Otros","No sabe","Falta de trabajo: paro","Otros","No sabe","No sabe","No sabe","No sabe","Ninguno","Ninguno","No contesta","Mala","Igual","Mejorará","Mala","Igual","Mejorará","Buena","Igual","Se quedará igual","Mala","Igual","Se quedará igual","Ni mejor ni peor","Que suban los salarios","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","Mal","Recortes/Falta/mejorar inversión en general en sanidad","Antes estaba mejor","Reducir listas/tiempos de espera de atención","Sí","Bien","Ha disminuido la ratio de alumnos/profesor"," "," ","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","De acuerdo","En desacuerdo","No sabe","No sabe","Socialdemócrata",5,7,5,5,6,10,"No"," ","No"," ","No"," ","No"," ","No"," ","No contesta","No contesta","No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Partidos Socialista Obrero Español (PSOE)","No votaría","No fui a votar","No votó","No fui a votar","No votó","Antes de iniciar la campaña","No contesta"," ","Nos llega para vivir","Nada probable","Nada religiosa","Diplomatura","Trabaja","Empresario o profesional con asalariados"
5031,"MOVIL","Huelva","De 20.001 a 50.000","Mujer","35-44",41,"Sí","Sí, tengo la nacionalidad española"," ","No",6,8,"Inestabilidad política","Sanidad","Insatisfacción con los políticos","Falta de trabajo: paro","Inmigración","Inmigración","Sanidad","No contesta","No contesta","Ninguno","Ninguno","Ninguno","Muy mala","Peor","Se quedará igual","Muy mala","Igual","Empeorará","Buena","Igual","Se quedará igual","Muy mala","Igual","Se quedará igual","Peor","Mejorar los servicios sanitarios","Que la Junta de Andalucía y los Ayuntamientos creen más empleo","Sí","Muy mal","Reducir listas/tiempos de espera de atención"," "," ","Sí","Bien","Necesidad de mejorar en general"," "," ","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","No sabe","De acuerdo","De acuerdo","De acuerdo","Regular (no leer)","Regular (no leer)","Ninguno",5,6,4,3,5,"No contesta","Sí",4,"Sí",4,"No"," ","No"," ","No"," ",6,4,"No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","Nulo","No fui a votar","No votó","No fui a votar","No votó","Antes de iniciar la campaña","No contesta"," ","Nos llega para vivir","Poco probable","Nada religiosa","Educación secundaria (ESO)","Trabaja","Asalariado del sector público"
5046,"MOVIL","Sevilla","De 50.001 a 100.000","Mujer","35-44",40,"Sí","Sí, tengo la nacionalidad española"," ","Sí, pero no lo utiliza",7,8,"Falta de hospitales, ambulatorios / masificación","Falta de trabajo: paro","Inseguridad ciudadana","Sanidad","Falta de trabajo: paro","Inseguridad ciudadana","Sanidad","Falta de trabajo: paro","Inseguridad ciudadana","Ninguno","Ninguno","Ninguno","Mala","Peor","Empeorará","Mala","Peor","Empeorará","Mala","Igual","Empeorará","Mala","Peor","Empeorará","No sabe","Que suban los salarios","Reducción de la jornada de trabajo para tener más tiempo libre","Sí","Ni bien ni mal(no leer)","Falta de profesionales médicos"," "," ","Sí","Bien","Bien en general, buena experiencia"," "," ","En desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","No sabe","No sabe","Conservador/a",5,"No sabe","No sabe","No sabe","No sabe","No sabe","No"," ","No"," ","No"," ","No"," ","No"," ","No contesta","No contesta","No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","No votaría","No fui a votar","No votó","No fui a votar","No votó","Antes de iniciar la campaña","No contesta"," ","Vivimos confortablemente con los ingresos actuales","Nada probable","Algo religiosa","Bachillerato","Trabaja","Asalariado del sector privado"
5213,"MOVIL","Huelva","De 10.001 a 20.000","Hombre","45-54",53,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",1,1,"Insatisfacción con los políticos","No sabe","No sabe","Insatisfacción con los políticos","No sabe","No sabe","Ningún problema","Ningún problema","Ningún problema","No sabe","No sabe","No sabe","Mala","Igual","No sabe","Muy mala","Igual","No sabe","Muy mala","Igual","Empeorará","Muy mala","Peor","Empeorará","No sabe","Que se genere  más empleo","Que la Junta de Andalucía y los Ayuntamientos creen más empleo","Sí","Muy bien","Bien en general, buena experiencia, calidad de la asistencia"," "," ","No","Bien","Bien en general, buena experiencia"," "," ","De acuerdo","De acuerdo","En desacuerdo","En desacuerdo","No sabe","No sabe","No sabe","En desacuerdo","No sabe","No sabe","Apolítico","No contesta","No contesta","No contesta","No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No contesta","No contesta","No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","No votaría","No fui a votar","No votó","No fui a votar","No votó","Nunca voto","No contesta"," ","Nos llega para vivir","No sabe","Poca religiosa","Diplomatura","Trabaja","Asalariado del sector privado"
5218,"MOVIL","Almería","De 50.001 a 100.000","Hombre","25-34",34,"Sí","Sí, tengo la nacionalidad española"," ","Sí, pero no lo utiliza",4,7,"Insatisfacción con los políticos","Falta de trabajo: paro","Problema de Cataluña","Falta de trabajo: paro","Inmigración","Bajo nivel educativo/cultural","Educación-cultura-investigación","No ayuda a los empresarios autónomos","Inmigración","VOX","VOX","VOX","Muy mala","Igual","Empeorará","Muy mala","Peor","Empeorará","Ni buena ni mala","Mejor","Se quedará igual","Mala","Mejor","Se quedará igual","Mejor","Evitar la inmigración ilegal","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","Mal","Falta de profesionales médicos","Faltan/mejorar medios/recursos"," ","No","Muy mal","Nivel académico mejorable, alumnos no salen preparados"," "," ","De acuerdo","En desacuerdo","En desacuerdo","En desacuerdo","De acuerdo","En desacuerdo","De acuerdo","En desacuerdo","Mala","Mala","Conservador/a",5,4,2,1,3,6,"Sí",2,"Sí",1,"Sí",1,"Sí",1,"Sí",5,4,2,3,1,5,"No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Sí",3,"No"," ","No"," ","Sí",4,"Vox","No votaría","No fui a votar","No votó","No fui a votar","No votó","Antes de iniciar la campaña","No contesta"," ","Nos llega para vivir","Probable (NO LEER)","Muy religiosa","Licenciatura o Grado","Trabaja","Empresario o profesional con asalariados"
5280,"MOVIL","Almería","De 100.001 o más","Hombre","55-64",62,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",9,9,"Falta de trabajo: paro","Corrupción política","Inmigración","Falta de trabajo: paro","Inmigración","Bajo nivel educativo/cultural","Problema de Cataluña","Insatisfacción con los políticos","Falta de trabajo: paro","Ninguno","Ninguno","VOX","Mala","Peor","Empeorará","Muy mala","Igual","Empeorará","Buena","Igual","Empeorará","No sabe","Mejor","No sabe","Peor","Que se genere  más empleo","Atraer las inversiones de empresas que quieran instalarse en Andalucía","Sí","Muy bien","Bien en general, buena experiencia, calidad de la asistencia"," "," ","No","Muy mal","Mejorar/estabilizar sistema educativo/leyes/planes educativos","Falta de autoridad en las aulas","Mejorar/actualizar contenidos/materias /metodologías","De acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","En desacuerdo","No sabe","No sabe","Otros (especificar)",7,8,4,1,6,9,"Sí",5,"Sí",5,"Sí",4,"Sí",2,"Sí",2,8,5,6,2,9,"Sí",6,"No"," ","No"," ","No"," ","No"," ","No"," ","Sí",5,"No"," ","No"," ","No"," ","Ninguno (NO LEER)","No sabe","No fui a votar","No votó","No fui a votar","No votó","Antes de iniciar la campaña","No contesta"," ","Vivimos confortablemente con los ingresos actuales","Nada probable","Nada religiosa","Licenciatura o Grado","Jubilado o pensionista (anteriormente ha trabajado)"," "
10028,"ONLINE","Cádiz","De 100.001 o más","Mujer","65-74",68,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",7,9,"Falta de trabajo: paro","Inmigración","Corrupción política","Falta de trabajo: paro","Bajo nivel educativo/cultural","Corrupción política","Bajo nivel educativo/cultural","Falta de trabajo: paro","Inseguridad ciudadana","Todos","Todos","Todos","Mala","Peor","Empeorará","Mala","Peor","Empeorará","Ni buena ni mala","Igual","Se quedará igual","Muy mala","Peor","Empeorará","Peor","Que se genere  más empleo","Luchar contra el fraude laboral","Sí","Ni bien ni mal(no leer)","Mejorar atención al paciente / Debe mejorar en general","Falta de profesionales médicos"," ","No","Mal","Nivel académico mejorable, alumnos no salen preparados"," "," ","Ni de acuerdo ni en desacuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","De acuerdo","Muy de acuerdo","Muy de acuerdo","Buena","Buena","Animalista",7,7,3,2,4,8,"Sí",7,"Sí",3,"Sí",4,"Sí",2,"Sí",3,7,4,5,2,7,"No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","No votaría","No fui a votar","No votó","No fui a votar","No votó","Durante la campaña electoral","No contesta"," ","Vivimos confortablemente con los ingresos actuales","Nada probable","Religiosa","Master","Jubilado o pensionista (anteriormente ha trabajado)"," "
10037,"ONLINE","Sevilla","De 50.001 a 100.000","Hombre","35-44",37,"Sí","Sí, tengo la nacionalidad española"," ","No",1,7,"Se debe mejorar la democracia / sistema político","Insatisfacción con la política","Funcionamiento de la economía","Insatisfacción con la política","Insatisfacción con la política","Otros","Corrupción política","Insatisfacción con la política","Otros","PODEMOS","PODEMOS","PODEMOS","Muy mala","Peor","Empeorará","Muy mala","Peor","Empeorará","Muy mala","Peor","Empeorará","Muy mala","Peor","Empeorará","Peor","Aumentar la participación de los ciudadanos en las decisiones del Gobierno de Andalucía","Crear un complemento salarial para garantizar una renta mínima más alta","No","Ni bien ni mal(no leer)","Bien en general, buena experiencia, calidad de la asistencia"," "," ","No contesta","Muy mal","Mejorar/estabilizar sistema educativo/leyes/planes educativos"," "," ","Muy en desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","No contesta","No contesta","Muy en desacuerdo","No contesta","Muy mala","Muy mala","No contesta","No contesta",10,8,4,10,10,"Sí",1,"Sí",1,"No"," ","Sí",7,"No"," ",10,9,"No contesta",3,"No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No contesta","No contesta","No contesta","No votó","No contesta","No votó"," ","No contesta"," ","No contesta","No sabe","No contesta","Bachillerato","No contesta"," "
10054,"ONLINE","Sevilla","De 100.001 o más","Hombre","45-54",53,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",9,7,"Corrupción política","Falta de trabajo: paro","Insatisfacción con la política","Falta de trabajo: paro","Funcionamiento de la economía","Corrupción política","Funcionamiento de la economía","Insatisfacción con la política","Inseguridad ciudadana","Ninguno","Ninguno","Ninguno","Ni buena ni mala","Peor","No sabe","Ni buena ni mala","Peor","Se quedará igual","Mala","Igual","Mejorará","Muy mala","No sabe","Se quedará igual","Ni mejor ni peor","Que se genere  más empleo","Atraer las inversiones de empresas que quieran instalarse en Andalucía","No sabe","Ni bien ni mal(no leer)","Otros"," "," ","No","Ni bien ni mal(no leer)","Otros"," "," ","De acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","De acuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","Mala","Mala","Liberal",6,9,3,6,7,"No sabe","No"," ","Sí",6,"No"," ","Sí",6,"No"," ","No contesta",4,"No contesta",6,"No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","No votaría","Habitualmente voto pero esa vez no","No votó","Habitualmente voto pero esta vez no","No votó","Antes de iniciar la campaña","No contesta"," ","Nos llega para vivir","Poco probable","Poca religiosa","Bachillerato","Trabaja","Asalariado del sector privado"
10081,"ONLINE","Málaga","De 50.001 a 100.000","Mujer","35-44",42,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",9,9,"Pensiones bajas","Demasiada delincuencia","Falta de trabajo: paro","Demasiada delincuencia","Jubilación","Falta de trabajo: paro","Falta de trabajo: paro","Inseguridad ciudadana","No sabe","No sabe","No sabe","No sabe","Mala","Peor","Empeorará","Mala","Peor","No sabe","Mala","Peor","No sabe","Mala","Peor","No sabe","Peor","Que se genere  más empleo","Que la Junta de Andalucía y los Ayuntamientos creen más empleo","Sí","Bien","Reducir listas/tiempos de espera de atención"," "," ","No","Ni bien ni mal(no leer)","No sabe"," "," ","Ni de acuerdo ni en desacuerdo","De acuerdo","En desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Mala","Mala","Apolítico",4,"No contesta",1,1,1,"No contesta","Sí",7,"Sí",6,"No"," ","No"," ","No"," ",6,6,"No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No contesta","No contesta","No contesta","No votó","No contesta","No votó"," ","No contesta"," ","No contesta","No sabe","Nada religiosa","Educación secundaria (ESO)","Otra situación"," "
10094,"ONLINE","Jaén","Menos de 10.000","Hombre","35-44",42,"Sí","Sí, tengo la nacionalidad española"," ","No",4,3,"Pensiones bajas","Inmigración","Políticas de empleo","Situación sector agrario","Falta de trabajo: paro","Sueldos bajos","Sueldos bajos","Precariedad laboral / contrato","Precariedad laboral / contrato","PODEMOS","PODEMOS","PODEMOS","Mala","Igual","Se quedará igual","Muy mala","Peor","Se quedará igual","Ni buena ni mala","Igual","Se quedará igual","Muy mala","Peor","Se quedará igual","Ni mejor ni peor","Combatir la subida de los precios","Que la Junta de Andalucía y los Ayuntamientos creen más empleo","Sí","Mal","Escaso interés/profesionalidad/empatía mostrado por parte del personal sanitario"," "," ","No","Ni bien ni mal(no leer)","Mejorar/ aumentar ayudas, becas / Reducir cuantías material excolar"," "," ","Muy de acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","Muy de acuerdo","Muy de acuerdo","Ni de acuerdo ni en desacuerdo","Muy de acuerdo","Regular (no leer)","No sabe","Apolítico",4,8,3,2,7,10,"Sí",5,"Sí",4,"No"," ","No"," ","No"," ",7,4,"No contesta","No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","No votaría","Pensé en ir a votar pero no lo hice","No votó","Pensé en ir a votar pero no lo hice","No votó","El día antes de las elecciones","No contesta"," ","Nos llega para vivir","No sabe","Nada religiosa","Educación secundaria (ESO)","Trabaja","Asalariado del sector privado"
10096,"ONLINE","Huelva","De 100.001 o más","Mujer","35-44",38,"Sí","Sí, tengo la nacionalidad española"," ","Sí y lo utiliza",7,10,"Crisis","Desigualdad social y pobreza","Insatisfacción con la política","Crisis","Corrupción política","Insatisfacción con la política","Desigualdad social y pobreza","Sanidad","Otros","PSOE","PSOE","PSOE","Muy mala","No sabe","Mejorará","Mala","Peor","Mejorará","Ni buena ni mala","Mejor","No sabe","Mala","Igual","No contesta","Mucho mejor","Que se genere  más empleo","Que la Junta de Andalucía y los Ayuntamientos creen más empleo","Sí","Muy mal","Falta de profesionales médicos"," "," ","Sí","Ni bien ni mal(no leer)","Bien en general, buena experiencia"," "," ","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy de acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","Mala","No contesta","Feminista",7,7,10,6,6,6,"No"," ","Sí",10,"No"," ","Sí",7,"No"," ","No contesta",8,"No contesta",4,"No contesta","No"," ","No"," ","No"," ","No"," ","Sí",8,"No"," ","No"," ","No"," ","No"," ","Sí",7,"Partido Popular (PP)","PSOE","No contesta","No votó","No contesta","No votó"," ","No contesta"," ","Vivimos confortablemente con los ingresos actuales","Probable (NO LEER)","Poca religiosa","Educación secundaria (ESO)","Parado/a y ha trabajado antes"," "
10104,"ONLINE","Sevilla","De 20.001 a 50.000","Hombre","45-54",50,"Sí","Sí, tengo la nacionalidad española"," ","No",5,5,"Corrupción política","Falta de trabajo: paro","Educación-cultura-investigación","Falta de trabajo: paro","Educación-cultura-investigación","Sanidad","Falta de trabajo: paro","Sanidad","Educación-cultura-investigación","Ninguno","Ninguno","Ninguno","Mala","Igual","No contesta","Mala","Peor","Empeorará","Mala","Peor","Se quedará igual","Mala","Peor","Se quedará igual","Peor","Que se genere  más empleo","Que la Junta de Andalucía y los Ayuntamientos creen más empleo","Sí","Muy mal","Mejorar atención al paciente / Debe mejorar en general"," "," ","Sí","Mal","Falta de medios técnicos y tecnológicos."," "," ","De acuerdo","De acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","No sabe","Muy en desacuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Muy mala","Muy mala","No contesta",5,9,1,1,5,"No contesta","Sí",1,"Sí",4,"Sí",1,"Sí",1,"Sí",1,5,5,5,5,5,"No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","No sabe","No fui a votar","No votó","Pensé en ir a votar pero no lo hice","No votó","Otros (no leer)","No contesta"," ","Tenemos dificultades","No procede, ya lo perdí (NO LEER)","No contesta","Bachillerato","No contesta"," "
10115,"ONLINE","Almería","De 50.001 a 100.000","Mujer","35-44",42,"Sí","Sí, tengo nacionalidad española y otra","Venezuela","No",9,10,"Falta de trabajo: paro","Discriminación de la mujer","Otros","Otros","Bajo nivel educativo/cultural","Transporte público: mal funcionamiento o insuficiente","Falta de infraestructuras y problemas con el transporte","Transporte público: mal funcionamiento o insuficiente","Ineficacia policial","Ninguno","Ninguno","Ninguno","Ni buena ni mala","Igual","Se quedará igual","Mala","Peor","Empeorará","Buena","Igual","Mejorará","Mala","Peor","Empeorará","Peor","Aumentar la participación de los ciudadanos en las decisiones del Gobierno de Andalucía","Luchar contra el fraude laboral","Sí","Ni bien ni mal(no leer)","Mejorar atención al paciente / Debe mejorar en general","Escaso interés/profesionalidad/empatía mostrado por parte del personal sanitario"," ","No","No sabe","No sabe"," "," ","Ni de acuerdo ni en desacuerdo","No contesta","En desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Ni de acuerdo ni en desacuerdo","De acuerdo","Muy mala","No contesta","Feminista","No contesta","No contesta","No contesta","No contesta","No contesta","No contesta","Sí",2,"Sí",4,"No"," ","Sí",4,"No"," ","No contesta","No contesta","No contesta","No contesta","No contesta","No"," ","Sí",4,"No"," ","Sí",4,"No"," ","No"," ","Sí",4,"No"," ","No"," ","No"," ","Ninguno (NO LEER)","En blanco","No contesta","No votó","No contesta","No votó"," ","No contesta"," ","Vivimos confortablemente con los ingresos actuales","Poco probable","Poca religiosa","Formación profesional II (segundo grado)","Trabaja","Asalariado del sector privado"
10118,"ONLINE","Almería","De 50.001 a 100.000","Mujer","45-54",54,"Sí","Sí, tengo nacionalidad española y otra","Kazajstán","Sí y lo utiliza",7,9,"Falta de trabajo: paro","Cambio climático","Inestabilidad política","Falta de trabajo: paro","Cambio climático","Inmigración","Falta de trabajo: paro","Sueldos bajos","Jubilación","No sabe","Ninguno","Ninguno","Mala","Igual","Se quedará igual","Muy mala","Igual","Se quedará igual","Muy mala","Igual","No sabe","No contesta","Igual","No sabe","Ni mejor ni peor","Que se genere  más empleo","Que la Junta de Andalucía y los Ayuntamientos creen más empleo","Sí","Muy mal","Reducir listas/tiempos de espera de atención","Escaso interés/profesionalidad/empatía mostrado por parte del personal sanitario"," ","No","Mal","Mejorar/estabilizar sistema educativo/leyes/planes educativos"," "," ","Muy de acuerdo","En desacuerdo","En desacuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Ni de acuerdo ni en desacuerdo","Muy de acuerdo","Mala","Regular (no leer)","Ninguno",8,9,1,1,7,"No sabe","Sí",5,"Sí",5,"Sí",5,"No"," ","No"," ",1,1,1,"No contesta","No contesta","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","No"," ","Ninguno (NO LEER)","No votaría","No contesta","No votó","No fui a votar","No votó","Nunca voto","No contesta"," ","Tenemos dificultades","Muy probable","Atea (NO LEER)","Diplomatura","Trabaja","Asalariado del sector privado"
